war	-0.039863	0.0963456	0.17588	0.0401991	0.0391372	-0.0144366	0.104367	-0.0247612	-0.0198808	-0.0738645
als	0.0172615	-0.0289578	-0.0681794	-0.026049	-0.029067	-0.0194393	-0.0425169	-0.00237157	0.0184132	0.0177982
soll	0.00954002	0.0050301	-0.0341652	-0.0170038	-0.0374084	-0.0220265	-0.00772599	0.011037	-0.0104313	0.00732371
polizei	-0.0256011	-0.0309487	-0.0166278	0.00305002	0.00948942	0.0340044	-0.0275844	-0.0207529	0.0200904	0.0260721
polizisten	-2.93297e-05	-0.0525084	-0.0620652	-0.0180814	-0.013096	-0.00388137	-0.0466639	-0.00935667	0.0281574	0.0264692
richtung	-0.00602227	0.0713072	0.111136	0.0104144	-0.00431154	-0.0376281	0.067295	-0.0121556	-0.0321413	-0.0546391
es	0.00892027	-0.0286501	-0.010959	0.00106431	-0.0141938	-0.00678583	-0.0154259	0.027074	0.0118345	0.0110994
nicht	-0.00820195	0.011939	0.0548246	0.008889	0.0432418	0.0122387	0.0330321	-0.0146923	-0.0127747	-0.0115394
kam	-0.0130172	0.0362781	0.0599969	0.00681884	-0.00142358	-0.0277807	0.0374886	-0.0239371	0.00111702	-0.0165315
eines	-0.0181359	0.00630898	0.0353187	-0.00391736	0.0168948	0.00239978	-0.000790443	-0.017786	-0.0201927	-0.00165282
krankenhaus	0.00384197	0.0712122	0.0957253	0.0193395	-0.00598376	-0.0427749	0.0637157	0.00127672	-0.00331716	-0.0644786
nacht	-0.0164072	-0.0248814	0.00196131	-0.00294545	0.0416158	0.0472169	-0.00856043	0.0119395	0.0063724	0.0373057
dass	-0.0118851	0.0193839	0.033577	0.0161208	0.00387154	-0.0157346	0.0311389	0.0055039	-0.00459091	-0.0152145
vergangenen	-0.0179184	-0.020729	-0.00189564	-0.00161619	0.0390515	0.0292277	-0.0339621	0.0121144	-0.00880664	0.0203596
ihn	0.0270751	-0.0542677	-0.0895035	-0.0310674	-0.0407794	-0.0167156	-0.0442007	0.00251959	0.0198585	0.0144433
frau	0.0241274	0.0191152	-0.0128365	0.000459915	-0.0336625	-0.0203062	0.0238887	0.0142639	0.000704165	-0.0293466
werden	-0.00538196	-0.017271	-0.0299044	-0.0141429	-0.0211514	-0.021535	0.0136971	0.0166758	0.000954273	-0.0149613
durch	-0.0305667	0.0138861	0.0940744	0.0300762	0.0659742	0.0382952	0.0364085	-0.0118834	-0.00975615	-0.00879923
vor	0.00844102	-0.00121176	-0.0109729	0.00550374	0.00323802	0.00489759	-0.0074009	-0.00555236	0.00825906	0.0107033
anschließend	0.0140649	-0.011048	-0.0599203	-0.0206009	-0.0164795	-0.00293063	-0.0359993	0.00487818	0.0363879	0.00418677
fest	0.0118472	-0.0362087	-0.048411	-0.0100303	-0.00658919	-0.00756703	-0.0534128	0.0125676	0.0101989	0.0403899
behandlung	0.000842425	0.038241	0.040701	0.00511293	-0.0398773	-0.0267285	0.0561704	-0.00223882	-0.0195857	-0.0228623
hat	-0.0106444	-0.0115283	0.0245104	0.0345777	0.0335527	0.0160076	-0.000733987	-0.00498126	0.0042149	0.0172683
beamten	0.0245517	-0.0400803	-0.0653264	-0.0237127	-0.0271113	-0.0275279	-0.0509415	-0.000736032	0.0190051	0.0327272
männer	0.0373011	-0.0576823	-0.120214	-0.000419208	-0.0311768	-0.0268422	-0.0682283	0.0232795	0.0151148	0.0450225
